,ER=0.2,ER=0.4,ER=0.6,ER=0.8,ER=1.0
RngRun1=20,0.777933,0.536304,0.340952,0.136564,0.0
RngRun2=21,0.77574,0.589172,0.356089,0.149675,0.0
RngRun3=22,0.766854,0.533871,0.351201,0.168103,0.0
RngRun4=23,0.760284,0.531457,0.350187,0.149351,0.0
RngRun5=24,0.756795,0.545746,0.364815,0.161987,0.0
RngRun6=25,0.765379,0.558442,0.376164,0.179104,0.0
RngRun7=26,0.782123,0.546042,0.373162,0.197895,0.0
RngRun8=27,0.782427,0.531353,0.345725,0.148148,0.0
RngRun9=28,0.764706,0.560897,0.3663,0.180467,0.0
RngRun10=29,0.779972,0.573927,0.328386,0.150862,0.0
AVG. PDR,0.7712213,0.5507211,0.3552981,0.1622156,0.0
